epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,539.84,1.37289,0.77452,0.0035,0.84991,0.88316,0.92443,0.5937,1.24661,0.54572,0.0032,0.00113898,0.00113898,0.00113898
43,552.829,1.35859,0.74176,0.00319,0.84371,0.89788,0.92512,0.60749,1.20241,0.54681,0.00305,0.00113191,0.00113191,0.00113191
44,566.276,1.36978,0.81832,0.00355,0.84606,0.83856,0.91173,0.62359,1.1076,0.52203,0.0028,0.00112484,0.00112484,0.00112484
45,579.399,1.35187,0.78098,0.00346,0.85609,0.91259,0.9371,0.61851,1.16851,0.52541,0.00304,0.00111776,0.00111776,0.00111776
46,592.426,1.35929,0.80871,0.00367,0.85483,0.83378,0.91725,0.61813,1.13653,0.55728,0.00288,0.00111069,0.00111069,0.00111069
47,604.825,1.32385,0.75753,0.00336,0.83854,0.92383,0.94144,0.60743,1.20701,0.53696,0.00309,0.00110362,0.00110362,0.00110362
48,616.926,1.35772,0.7687,0.00351,0.8588,0.89855,0.92614,0.62272,1.14984,0.51037,0.00289,0.00109654,0.00109654,0.00109654
49,629.865,1.30844,0.7283,0.00321,0.82534,0.88838,0.92042,0.6359,1.07899,0.51747,0.00273,0.00108947,0.00108947,0.00108947
50,642.84,1.32994,0.74181,0.00337,0.85418,0.92386,0.93897,0.633,1.12073,0.50736,0.00282,0.0010824,0.0010824,0.0010824
51,655.964,1.34578,0.729,0.00327,0.84565,0.91154,0.92725,0.61355,1.16917,0.50078,0.003,0.00107532,0.00107532,0.00107532
52,669.131,1.36152,0.76031,0.00345,0.88004,0.88346,0.94386,0.63852,1.10157,0.50092,0.00274,0.00106825,0.00106825,0.00106825
53,682.192,1.32141,0.73241,0.00344,0.92773,0.83683,0.93866,0.64474,1.08509,0.48921,0.00278,0.00106118,0.00106118,0.00106118
54,694.857,1.31358,0.70809,0.00323,0.86094,0.86586,0.92959,0.60791,1.17916,0.49219,0.00299,0.0010541,0.0010541,0.0010541
55,706.684,1.33233,0.69706,0.00328,0.91951,0.84194,0.93848,0.64419,1.08181,0.47749,0.00277,0.00104703,0.00104703,0.00104703
56,719.53,1.35122,0.72367,0.00336,0.83467,0.90336,0.92732,0.63257,1.09133,0.47962,0.00278,0.00103995,0.00103995,0.00103995
57,732.639,1.3584,0.71947,0.00343,0.83214,0.91383,0.92858,0.62197,1.14576,0.5011,0.00292,0.00103288,0.00103288,0.00103288
58,745.77,1.3285,0.72465,0.00355,0.84899,0.88232,0.92159,0.62483,1.09486,0.50283,0.00273,0.00102581,0.00102581,0.00102581
59,758.948,1.37117,0.72387,0.0033,0.82301,0.88023,0.89889,0.59354,1.19872,0.60018,0.00305,0.00101873,0.00101873,0.00101873
60,771.838,1.30825,0.67394,0.00313,0.84896,0.89536,0.92952,0.64016,1.08558,0.49353,0.00272,0.00101166,0.00101166,0.00101166
61,784.248,1.35447,0.72825,0.0036,0.85864,0.90266,0.9252,0.62836,1.11499,0.50805,0.00287,0.00100459,0.00100459,0.00100459
62,796.149,1.30373,0.69223,0.00313,0.84042,0.84898,0.92606,0.60236,1.18087,0.51542,0.00294,0.000997513,0.000997513,0.000997513
63,809.186,1.31157,0.674,0.00315,0.86682,0.88638,0.94033,0.64849,1.09214,0.49062,0.00271,0.00099044,0.00099044,0.00099044
64,822.499,1.32899,0.66987,0.00306,0.95168,0.83405,0.94344,0.64923,1.08482,0.44512,0.00271,0.000983366,0.000983366,0.000983366
65,835.744,1.32486,0.65663,0.00302,0.87494,0.88806,0.93889,0.65881,1.03677,0.43817,0.00262,0.000976293,0.000976293,0.000976293
66,848.837,1.29619,0.65538,0.00293,0.94299,0.85664,0.94566,0.65497,1.03362,0.40706,0.00257,0.000969219,0.000969219,0.000969219
67,861.411,1.26511,0.62211,0.00298,0.9396,0.86509,0.94863,0.65338,1.09753,0.42971,0.00283,0.000962146,0.000962146,0.000962146
68,873.637,1.2942,0.64194,0.00316,0.80805,0.85686,0.89565,0.59804,1.08875,0.58607,0.00277,0.000955072,0.000955072,0.000955072
69,885.788,1.27362,0.61591,0.0029,0.86621,0.88026,0.93776,0.64392,1.10543,0.46066,0.00278,0.000947999,0.000947999,0.000947999
70,898.981,1.32385,0.64438,0.00322,0.93017,0.87804,0.95082,0.64723,1.10246,0.43315,0.00281,0.000940925,0.000940925,0.000940925
71,912.134,1.29477,0.67152,0.00327,0.79879,0.90227,0.90859,0.59098,1.14932,0.58775,0.00292,0.000933851,0.000933851,0.000933851
72,925.463,1.30972,0.63965,0.00297,0.91209,0.82221,0.93265,0.62556,1.10308,0.53336,0.00276,0.000926778,0.000926778,0.000926778
73,938.585,1.31376,0.64259,0.00304,0.83627,0.91773,0.93864,0.64615,1.07216,0.48844,0.00269,0.000919704,0.000919704,0.000919704
74,951.138,1.2771,0.66625,0.00334,0.89347,0.84684,0.93164,0.63147,1.09773,0.43487,0.00279,0.000912631,0.000912631,0.000912631
75,963.51,1.28383,0.69097,0.00362,0.82009,0.9249,0.92705,0.62813,1.09526,0.51366,0.00277,0.000905557,0.000905557,0.000905557
76,976.252,1.29354,0.6478,0.00313,0.87285,0.82468,0.91867,0.60686,1.12422,0.53708,0.0029,0.000898484,0.000898484,0.000898484
77,989.374,1.29636,0.65428,0.00326,0.8593,0.90192,0.93999,0.64848,1.05252,0.49765,0.00266,0.00089141,0.00089141,0.00089141
78,1002.45,1.29475,0.64877,0.00316,0.75531,0.84968,0.86266,0.55358,1.16579,0.62518,0.00299,0.000884337,0.000884337,0.000884337
79,1015.69,1.31262,0.68137,0.00327,0.91052,0.83911,0.93516,0.64469,1.07031,0.44379,0.00267,0.000877263,0.000877263,0.000877263
80,1028.7,1.29142,0.61303,0.00297,0.84095,0.93586,0.93178,0.61535,1.14058,0.46819,0.0029,0.00087019,0.00087019,0.00087019
81,1041.37,1.29468,0.70984,0.00357,0.92106,0.8343,0.93484,0.63638,1.08843,0.48474,0.0027,0.000863116,0.000863116,0.000863116
82,1053.51,1.30253,0.61604,0.00311,0.84572,0.92836,0.94388,0.65294,1.06016,0.44682,0.00265,0.000856042,0.000856042,0.000856042
83,1066.19,1.27372,0.62575,0.00316,0.79352,0.91435,0.91308,0.5904,1.19591,0.51159,0.00308,0.000848969,0.000848969,0.000848969
84,1079.1,1.25109,0.58976,0.00305,0.92962,0.84304,0.93809,0.63845,1.08051,0.41099,0.00272,0.000841895,0.000841895,0.000841895
85,1092.26,1.28168,0.63634,0.00316,0.80552,0.9139,0.92312,0.63084,1.09679,0.45009,0.00278,0.000834822,0.000834822,0.000834822
86,1105.33,1.29132,0.65994,0.00318,0.85854,0.92346,0.93913,0.65454,1.02045,0.38942,0.00256,0.000827748,0.000827748,0.000827748
87,1118.45,1.27733,0.62866,0.00301,0.92418,0.85537,0.94056,0.6434,1.06759,0.43604,0.00275,0.000820675,0.000820675,0.000820675
88,1131,1.24532,0.6466,0.00339,0.91523,0.8404,0.93976,0.65085,1.05118,0.44501,0.00264,0.000813601,0.000813601,0.000813601
89,1142.79,1.2644,0.60484,0.00335,0.85999,0.87673,0.93028,0.64608,1.0661,0.46392,0.00274,0.000806528,0.000806528,0.000806528
90,1155.41,1.28843,0.5991,0.00294,0.81766,0.90004,0.91706,0.58496,1.21566,0.52483,0.00318,0.000799454,0.000799454,0.000799454
91,1168.87,1.32258,0.67728,0.00346,0.95268,0.85763,0.94641,0.64977,1.04717,0.47124,0.00262,0.00079238,0.00079238,0.00079238
92,1181.99,1.26281,0.63638,0.00319,0.9516,0.8768,0.94983,0.66097,1.02454,0.40165,0.00258,0.000785307,0.000785307,0.000785307
93,1195.16,1.2707,0.63659,0.00322,0.85833,0.91938,0.93908,0.64598,1.04199,0.43121,0.00265,0.000778233,0.000778233,0.000778233
94,1208.23,1.26794,0.59606,0.00298,0.84996,0.91151,0.93739,0.6405,1.06019,0.45586,0.00276,0.00077116,0.00077116,0.00077116
95,1220.97,1.27717,0.5871,0.00291,0.96467,0.84676,0.94834,0.62821,1.11754,0.43033,0.00282,0.000764086,0.000764086,0.000764086
96,1233.11,1.29939,0.60805,0.00309,0.83062,0.90359,0.92621,0.61763,1.10214,0.49544,0.00277,0.000757013,0.000757013,0.000757013
97,1245.65,1.26185,0.59862,0.00305,0.90309,0.87075,0.94447,0.65041,1.05626,0.424,0.00268,0.000749939,0.000749939,0.000749939
