epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3861,2.05724,3.92346,0.0053,0.01003,0.07278,0.03757,0.02033,1.32318,3.34372,0.00329,0.000465978,0.000465978,0.000465978
2,25.7999,1.75741,2.38443,0.00481,0.67852,0.4956,0.49895,0.29297,1.38678,1.7969,0.0034,0.000932983,0.000932983,0.000932983
3,38.2232,1.67911,1.93417,0.00418,0.79523,0.49205,0.5001,0.31582,1.30952,1.4628,0.00327,0.00139056,0.00139056,0.00139056
4,50.1695,1.55571,1.75277,0.00381,0.52149,0.71684,0.60457,0.36431,1.24468,1.53429,0.00309,0.00138656,0.00138656,0.00138656
5,62.945,1.59813,1.69242,0.0041,0.71443,0.5628,0.6673,0.39877,1.2656,1.35009,0.00327,0.00137241,0.00137241,0.00137241
6,75.696,1.57764,1.65674,0.00435,0.81702,0.52977,0.73258,0.43877,1.26181,1.3509,0.00331,0.00135826,0.00135826,0.00135826
7,88.4907,1.52263,1.44477,0.00367,0.73906,0.68068,0.76697,0.45807,1.26252,1.22061,0.00326,0.00134412,0.00134412,0.00134412
8,101.297,1.52906,1.37996,0.00388,0.74163,0.74995,0.82408,0.50204,1.28615,0.96733,0.00326,0.00132997,0.00132997,0.00132997
9,113.067,1.49948,1.28814,0.0037,0.77737,0.72943,0.8327,0.47914,1.35317,1.00932,0.00337,0.00131582,0.00131582,0.00131582
10,125.177,1.52202,1.23422,0.00381,0.7614,0.77995,0.82233,0.51014,1.22405,0.8996,0.00313,0.00130168,0.00130168,0.00130168
11,137.918,1.46888,1.15551,0.00342,0.81503,0.73037,0.86256,0.52546,1.28112,0.88612,0.00326,0.00128753,0.00128753,0.00128753
12,150.858,1.47203,1.13512,0.00358,0.7339,0.7933,0.82379,0.5239,1.23092,0.83546,0.00322,0.00127338,0.00127338,0.00127338
13,163.872,1.48579,1.16243,0.00398,0.78205,0.76584,0.86369,0.53516,1.23843,0.92113,0.00318,0.00125923,0.00125923,0.00125923
14,176.9,1.49138,1.13988,0.00407,0.7524,0.80421,0.84051,0.53862,1.22319,0.81448,0.00316,0.00124509,0.00124509,0.00124509
15,189.869,1.47458,1.15015,0.00377,0.78577,0.78247,0.84101,0.51641,1.28827,0.82845,0.00326,0.00123094,0.00123094,0.00123094
16,201.687,1.41924,1.04875,0.00366,0.80484,0.79787,0.8828,0.55835,1.19488,0.79274,0.00304,0.00121679,0.00121679,0.00121679
17,213.935,1.43698,1.06335,0.00363,0.77982,0.79232,0.86168,0.57164,1.13506,0.75814,0.00291,0.00120265,0.00120265,0.00120265
18,226.987,1.44976,1.06939,0.00384,0.81587,0.8036,0.8852,0.57728,1.16063,0.72167,0.00296,0.0011885,0.0011885,0.0011885
19,240.122,1.43055,0.99116,0.00353,0.75396,0.82448,0.86951,0.5781,1.11383,0.74623,0.00284,0.00117435,0.00117435,0.00117435
20,253.15,1.40649,0.98816,0.0034,0.84027,0.78574,0.89631,0.60179,1.12135,0.67399,0.00281,0.00116021,0.00116021,0.00116021
21,265.88,1.39647,0.94085,0.00341,0.79524,0.83351,0.88954,0.58592,1.16818,0.68544,0.0029,0.00114606,0.00114606,0.00114606
22,278.523,1.38171,0.98556,0.00391,0.82547,0.83524,0.90447,0.57734,1.22304,0.67534,0.00303,0.00113191,0.00113191,0.00113191
23,290.47,1.38814,0.89207,0.00319,0.85425,0.81617,0.8998,0.60676,1.12516,0.64608,0.00278,0.00111776,0.00111776,0.00111776
24,303.004,1.41298,0.92839,0.00339,0.7996,0.8053,0.88757,0.58018,1.15764,0.69784,0.00294,0.00110362,0.00110362,0.00110362
25,315.806,1.37526,0.92654,0.00362,0.88408,0.81575,0.90676,0.61556,1.11682,0.6363,0.00282,0.00108947,0.00108947,0.00108947
26,328.754,1.37697,0.89079,0.00334,0.82046,0.83026,0.90254,0.58974,1.18371,0.6402,0.00298,0.00107532,0.00107532,0.00107532
27,341.772,1.40562,0.90379,0.00355,0.81558,0.85587,0.91247,0.60472,1.16734,0.63278,0.00285,0.00106118,0.00106118,0.00106118
28,354.793,1.40625,0.89537,0.00366,0.83911,0.86628,0.91486,0.6252,1.12495,0.60218,0.00281,0.00104703,0.00104703,0.00104703
29,367.387,1.38508,0.89811,0.00373,0.84735,0.81371,0.91433,0.59119,1.21249,0.6394,0.003,0.00103288,0.00103288,0.00103288
30,379.508,1.3604,0.8548,0.00338,0.8188,0.8853,0.9182,0.60454,1.18486,0.58878,0.00299,0.00101873,0.00101873,0.00101873
31,392.027,1.36965,0.85485,0.00332,0.82363,0.79054,0.8933,0.59987,1.15802,0.60209,0.00288,0.00100459,0.00100459,0.00100459
32,405.118,1.35249,0.81506,0.00306,0.78855,0.89674,0.92093,0.62716,1.13247,0.59447,0.00288,0.00099044,0.00099044,0.00099044
33,418.135,1.35176,0.82954,0.00332,0.91045,0.83498,0.93168,0.61535,1.17958,0.55909,0.00289,0.000976293,0.000976293,0.000976293
34,431.181,1.3521,0.81578,0.00328,0.84694,0.86227,0.91336,0.62389,1.09701,0.57593,0.00274,0.000962146,0.000962146,0.000962146
35,444.194,1.35039,0.76559,0.00298,0.86225,0.84678,0.92221,0.63303,1.10843,0.52718,0.00278,0.000947999,0.000947999,0.000947999
36,456.691,1.35597,0.79673,0.00336,0.88871,0.8356,0.92563,0.60219,1.18058,0.54936,0.00297,0.000933851,0.000933851,0.000933851
37,468.693,1.36043,0.75686,0.00306,0.86965,0.86845,0.92641,0.6402,1.08148,0.53252,0.00271,0.000919704,0.000919704,0.000919704
38,481.646,1.32935,0.81313,0.00337,0.8637,0.85845,0.92727,0.6312,1.11518,0.51435,0.00273,0.000905557,0.000905557,0.000905557
39,494.696,1.30204,0.75752,0.00316,0.85245,0.88803,0.92326,0.63575,1.08839,0.50951,0.0027,0.00089141,0.00089141,0.00089141
40,507.622,1.36281,0.76104,0.00334,0.85135,0.89564,0.93203,0.64075,1.07867,0.49263,0.00267,0.000877263,0.000877263,0.000877263
41,520.513,1.38105,0.79015,0.00337,0.85019,0.85857,0.92216,0.6287,1.10449,0.52311,0.00275,0.000863116,0.000863116,0.000863116
42,533.573,1.33943,0.75702,0.00343,0.85175,0.8856,0.93088,0.60746,1.23063,0.51556,0.00318,0.000848969,0.000848969,0.000848969
43,545.858,1.32472,0.72232,0.0031,0.81645,0.91678,0.92972,0.6175,1.17098,0.51797,0.00302,0.000834822,0.000834822,0.000834822
44,558.205,1.3447,0.79703,0.00346,0.85098,0.88634,0.92344,0.62665,1.10596,0.51905,0.0028,0.000820675,0.000820675,0.000820675
45,571.466,1.34602,0.76866,0.00348,0.87815,0.89133,0.93587,0.62523,1.12531,0.49548,0.00287,0.000806528,0.000806528,0.000806528
46,584.5,1.34321,0.79907,0.00363,0.86586,0.86824,0.9306,0.63192,1.10541,0.53866,0.0028,0.00079238,0.00079238,0.00079238
47,597.325,1.30549,0.75649,0.00328,0.87467,0.9011,0.94232,0.63355,1.12263,0.51693,0.00279,0.000778233,0.000778233,0.000778233
48,610.313,1.33141,0.76625,0.0034,0.84606,0.91549,0.93364,0.62873,1.12824,0.52454,0.00289,0.000764086,0.000764086,0.000764086
49,623.089,1.28802,0.72203,0.0031,0.9422,0.8217,0.93622,0.64477,1.08171,0.50615,0.00272,0.000749939,0.000749939,0.000749939
50,635.071,1.31397,0.74299,0.00329,0.9086,0.85664,0.93777,0.63931,1.0788,0.50164,0.00272,0.000735792,0.000735792,0.000735792
51,647.652,1.31641,0.72567,0.00315,0.86402,0.89032,0.92948,0.64113,1.07727,0.48739,0.0027,0.000721645,0.000721645,0.000721645
52,660.938,1.33617,0.74562,0.0034,0.88072,0.88815,0.93779,0.64215,1.06907,0.49609,0.00261,0.000707498,0.000707498,0.000707498
53,674.042,1.30956,0.72666,0.00343,0.83499,0.92878,0.939,0.63678,1.10481,0.51001,0.00277,0.000693351,0.000693351,0.000693351
54,687.142,1.29943,0.70943,0.00321,0.86624,0.89406,0.93608,0.63187,1.11639,0.49461,0.00281,0.000679204,0.000679204,0.000679204
55,700.45,1.31349,0.70309,0.00318,0.91998,0.84723,0.93835,0.64953,1.05274,0.47568,0.00259,0.000665057,0.000665057,0.000665057
