epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,669.333,1.21853,5.67626,0.01551,0.54905,0.49706,0.53884,0.41877,0.9076,5.70858,0.01421,0.000554564,0.000554564,0.000554564
2,1323.52,1.28079,3.12256,0.01633,0.54675,0.7839,0.7716,0.58368,0.89194,2.4432,0.01384,0.00109924,0.00109924,0.00109924
3,1981.06,1.3555,2.10154,0.01789,0.73939,0.67928,0.7415,0.50985,1.11026,1.61632,0.01559,0.00163291,0.00163291,0.00163291
4,2630.87,1.38739,1.6806,0.01835,0.77646,0.81579,0.89861,0.55018,1.26851,1.28289,0.01957,0.00161749,0.00161749,0.00161749
5,3281.54,1.36108,1.51023,0.01757,0.74832,0.7579,0.85356,0.63691,0.9002,1.05368,0.01374,0.00160099,0.00160099,0.00160099
6,3972.85,1.33716,1.35594,0.01796,0.8876,0.77538,0.92574,0.67174,0.987,0.75119,0.01503,0.00158448,0.00158448,0.00158448
7,4626.43,1.28767,1.26396,0.017,0.90581,0.91709,0.95781,0.68724,1.03971,0.70044,0.01567,0.00156798,0.00156798,0.00156798
8,5279.55,1.31268,1.17808,0.01726,0.87481,0.78522,0.91939,0.64322,0.99063,0.88217,0.01355,0.00155148,0.00155148,0.00155148
9,5931.68,1.29297,1.15192,0.01646,0.92138,0.87111,0.97004,0.75598,0.87955,0.59205,0.01357,0.00153497,0.00153497,0.00153497
10,6580.56,1.30095,1.15326,0.01723,0.77365,0.92958,0.89031,0.71225,0.79192,0.64634,0.01166,0.00151847,0.00151847,0.00151847
11,7232.73,1.25153,1.1022,0.01635,0.82818,0.86387,0.90981,0.70867,0.86628,0.79424,0.01194,0.00150197,0.00150197,0.00150197
12,7883.25,1.21769,1.09364,0.01605,0.92367,0.84671,0.94016,0.78234,0.69961,0.64558,0.01095,0.00148546,0.00148546,0.00148546
13,8540.01,1.20347,1.03627,0.0154,0.86967,0.91118,0.96211,0.77019,0.80705,0.56656,0.01136,0.00146896,0.00146896,0.00146896
14,9190.29,1.24243,0.98952,0.01593,0.82886,0.92915,0.9194,0.76425,0.72755,0.55829,0.01033,0.00145246,0.00145246,0.00145246
15,9840.47,1.22722,0.9472,0.01546,0.89247,0.98187,0.98357,0.75667,0.90259,0.44349,0.01271,0.00143595,0.00143595,0.00143595
16,10489.5,1.21722,0.88428,0.01561,0.9862,0.84845,0.97841,0.83627,0.62336,0.40625,0.00899,0.00141945,0.00141945,0.00141945
17,11140.7,1.19994,0.88096,0.01505,0.93085,0.83973,0.97708,0.84054,0.61565,0.42726,0.00938,0.00140295,0.00140295,0.00140295
18,11792.2,1.20188,0.79625,0.01561,0.85165,0.95172,0.96343,0.79632,0.73882,0.40295,0.01169,0.00138644,0.00138644,0.00138644
19,12448.7,1.19679,0.82063,0.01501,0.82537,0.87026,0.91042,0.75281,0.67777,0.54229,0.0098,0.00136994,0.00136994,0.00136994
20,13098.2,1.1673,0.80793,0.01489,0.92402,0.91118,0.96525,0.78671,0.68276,0.43162,0.01062,0.00135344,0.00135344,0.00135344
21,13746.1,1.16797,0.73654,0.01498,0.92107,0.85101,0.9758,0.82421,0.70252,0.4344,0.01029,0.00133693,0.00133693,0.00133693
22,14395.8,1.18495,0.76717,0.01483,0.96385,0.96659,0.9913,0.86133,0.6283,0.27492,0.00927,0.00132043,0.00132043,0.00132043
23,15052.3,1.17477,0.75329,0.01524,0.98964,0.88514,0.98552,0.8481,0.61776,0.29432,0.00923,0.00130393,0.00130393,0.00130393
24,15708.2,1.15499,0.69428,0.01481,0.97311,0.95997,0.98999,0.86407,0.56306,0.29081,0.00816,0.00128742,0.00128742,0.00128742
25,16389.6,1.14564,0.66805,0.01449,0.98211,0.916,0.98548,0.8802,0.55683,0.28895,0.00777,0.00127092,0.00127092,0.00127092
26,17059.1,1.11987,0.66178,0.014,0.9716,0.91118,0.98435,0.85292,0.60314,0.30229,0.00883,0.00125442,0.00125442,0.00125442
27,17848.9,1.12493,0.6534,0.01425,0.99005,0.99072,0.995,0.82298,0.70428,0.26597,0.00978,0.00123791,0.00123791,0.00123791
28,18584.2,1.1305,0.6571,0.01434,0.95543,1,0.99125,0.87275,0.53596,0.22302,0.008,0.00122141,0.00122141,0.00122141
29,19325.8,1.10853,0.65789,0.01432,0.99426,0.93286,0.99024,0.85896,0.57248,0.21592,0.00852,0.00120491,0.00120491,0.00120491
30,20039.2,1.13272,0.63924,0.01437,0.93669,1,0.98885,0.86776,0.58917,0.25807,0.00924,0.0011884,0.0011884,0.0011884
31,20684.7,1.11595,0.6288,0.01435,0.9174,0.96726,0.98406,0.86108,0.54394,0.27879,0.00792,0.0011719,0.0011719,0.0011719
32,21326.7,1.09221,0.5966,0.01411,0.94366,0.99869,0.9925,0.87198,0.55173,0.22909,0.00794,0.0011554,0.0011554,0.0011554
33,22014.8,1.10072,0.59355,0.0139,0.96146,0.97368,0.99375,0.8519,0.60751,0.22978,0.00918,0.00113889,0.00113889,0.00113889
34,22690.2,1.08592,0.58193,0.01407,1,0.96533,0.995,0.85861,0.53444,0.20386,0.00797,0.00112239,0.00112239,0.00112239
35,23382.6,1.06771,0.57084,0.01367,0.97271,0.98654,0.9925,0.86877,0.57793,0.23613,0.00821,0.00110589,0.00110589,0.00110589
36,24072.2,1.05138,0.5799,0.01338,0.99133,1,0.995,0.88215,0.53189,0.18073,0.00767,0.00108938,0.00108938,0.00108938
37,24788.2,1.02906,0.55289,0.01324,0.94448,1,0.9913,0.8845,0.50853,0.20614,0.00747,0.00107288,0.00107288,0.00107288
38,25465.5,1.04589,0.55133,0.01333,0.98733,0.97321,0.995,0.87926,0.58711,0.21008,0.00868,0.00105638,0.00105638,0.00105638
39,26183,1.06982,0.55233,0.01385,0.97358,0.9808,0.99375,0.90345,0.48505,0.20648,0.00708,0.00103987,0.00103987,0.00103987
40,26842.3,1.02289,0.5222,0.01293,0.99277,1,0.995,0.8798,0.53854,0.15746,0.00782,0.00102337,0.00102337,0.00102337
41,27563.2,1.02527,0.52541,0.01307,0.97039,0.98164,0.99324,0.90338,0.45635,0.20409,0.007,0.00100687,0.00100687,0.00100687
42,28303.3,1.04249,0.52719,0.01295,0.99517,0.93817,0.98983,0.88219,0.50343,0.24701,0.00724,0.000990365,0.000990365,0.000990365
43,28997.9,1.01495,0.53257,0.0127,0.99743,0.98097,0.995,0.89369,0.48264,0.15492,0.00709,0.000973861,0.000973861,0.000973861
44,29660.7,1.03193,0.51514,0.01281,0.98981,0.97076,0.99375,0.90488,0.47951,0.15885,0.00741,0.000957358,0.000957358,0.000957358
45,30317.7,1.01331,0.49387,0.01243,0.9976,0.9781,0.995,0.89583,0.48483,0.17371,0.00718,0.000940855,0.000940855,0.000940855
46,31025.5,0.98884,0.49173,0.01238,0.99468,0.97368,0.99375,0.87866,0.48772,0.17132,0.00728,0.000924352,0.000924352,0.000924352
47,31704.8,0.99394,0.50487,0.01261,0.978,0.99808,0.995,0.89538,0.4682,0.15125,0.00706,0.000907848,0.000907848,0.000907848
48,32362.4,0.99296,0.50527,0.01268,0.97421,0.99989,0.995,0.8703,0.53154,0.16492,0.00762,0.000891345,0.000891345,0.000891345
49,32995.9,0.99418,0.50011,0.01253,0.99095,1,0.995,0.89423,0.51767,0.14462,0.00814,0.000874842,0.000874842,0.000874842
50,33628.2,0.98933,0.47487,0.01249,0.9972,0.96222,0.99262,0.88105,0.51988,0.20083,0.00766,0.000858338,0.000858338,0.000858338
51,34260.3,0.96719,0.48779,0.01218,0.98555,0.99681,0.995,0.89522,0.49101,0.17175,0.00787,0.000841835,0.000841835,0.000841835
52,34893.2,0.94277,0.46636,0.01166,0.99573,0.97368,0.99375,0.89759,0.46726,0.18053,0.00694,0.000825332,0.000825332,0.000825332
53,35526.6,0.96467,0.47107,0.01235,0.99168,1,0.995,0.88817,0.48699,0.13657,0.00713,0.000808828,0.000808828,0.000808828
54,36157.1,0.95842,0.47515,0.01248,0.99421,0.97368,0.99375,0.91768,0.44126,0.16549,0.00662,0.000792325,0.000792325,0.000792325
55,36791.8,0.945,0.45683,0.01178,0.9926,0.98611,0.995,0.90347,0.44688,0.19256,0.00701,0.000775822,0.000775822,0.000775822
56,37425.5,0.95229,0.44256,0.01201,0.96375,1,0.99324,0.88217,0.50746,0.17979,0.00744,0.000759318,0.000759318,0.000759318
57,38060.6,0.94438,0.45547,0.01193,0.95925,1,0.99147,0.90333,0.44736,0.19349,0.00667,0.000742815,0.000742815,0.000742815
58,38711,0.91967,0.44684,0.01139,0.99209,1,0.995,0.90405,0.46179,0.16602,0.00694,0.000726312,0.000726312,0.000726312
59,39381.8,0.9202,0.43481,0.0116,0.99202,1,0.995,0.90314,0.47343,0.14918,0.00717,0.000709809,0.000709809,0.000709809
60,40062.4,0.92727,0.43807,0.01163,0.99744,0.9882,0.995,0.89753,0.47566,0.17972,0.00718,0.000693305,0.000693305,0.000693305
61,40746.3,0.91023,0.42935,0.01141,0.97015,0.97442,0.99324,0.91387,0.44571,0.19986,0.00653,0.000676802,0.000676802,0.000676802
62,41486.3,0.88705,0.42064,0.01087,0.97561,0.99801,0.995,0.90269,0.46367,0.15193,0.00722,0.000660299,0.000660299,0.000660299
63,42184.6,0.8873,0.43165,0.01108,0.96276,1,0.995,0.89345,0.44883,0.17217,0.00676,0.000643795,0.000643795,0.000643795
64,42904.3,0.8937,0.41324,0.01115,0.98987,0.97368,0.99375,0.88255,0.49029,0.17227,0.0072,0.000627292,0.000627292,0.000627292
65,43567,0.87934,0.41274,0.01106,0.98305,0.99748,0.995,0.90189,0.46619,0.14254,0.00675,0.000610789,0.000610789,0.000610789
66,44229.4,0.89145,0.42539,0.01121,0.99574,0.96741,0.995,0.91435,0.47756,0.18207,0.00751,0.000594286,0.000594286,0.000594286
67,44949.2,0.90421,0.425,0.0115,0.99653,1,0.995,0.90503,0.43067,0.13276,0.00652,0.000577782,0.000577782,0.000577782
68,45611.4,0.87653,0.40581,0.01059,0.99554,0.99822,0.995,0.92446,0.40426,0.14726,0.00605,0.000561279,0.000561279,0.000561279
69,46270.4,0.85744,0.39598,0.01054,0.99752,0.98227,0.995,0.901,0.45907,0.15894,0.00648,0.000544776,0.000544776,0.000544776
70,46896,0.86141,0.39198,0.01065,0.99755,0.97815,0.995,0.91098,0.43056,0.14867,0.00655,0.000528272,0.000528272,0.000528272
71,47520.3,0.85714,0.39471,0.0103,0.99769,0.99683,0.995,0.92053,0.41431,0.13815,0.00631,0.000511769,0.000511769,0.000511769
72,48199.9,0.86198,0.39207,0.0105,0.98883,1,0.995,0.91927,0.40499,0.14206,0.00615,0.000495266,0.000495266,0.000495266
73,48872.2,0.85521,0.38998,0.01061,0.99772,0.98598,0.995,0.92994,0.36713,0.132,0.00536,0.000478762,0.000478762,0.000478762
74,49524.5,0.83557,0.38824,0.01021,0.9817,0.99771,0.995,0.91832,0.40032,0.13854,0.00585,0.000462259,0.000462259,0.000462259
75,50305,0.82597,0.38056,0.00992,0.9839,0.99776,0.995,0.91446,0.38911,0.13866,0.00572,0.000445756,0.000445756,0.000445756
76,51006.8,0.83797,0.38028,0.01029,0.99377,0.99622,0.995,0.93433,0.38145,0.13798,0.00583,0.000429253,0.000429253,0.000429253
77,51647.1,0.83089,0.37056,0.00999,0.99333,1,0.995,0.92761,0.3853,0.11284,0.00575,0.000412749,0.000412749,0.000412749
78,52290,0.80458,0.36475,0.01005,0.98674,0.99785,0.995,0.92332,0.41869,0.13083,0.00598,0.000396246,0.000396246,0.000396246
79,52927.2,0.80027,0.37884,0.00965,0.99381,1,0.995,0.92692,0.39455,0.12335,0.00576,0.000379743,0.000379743,0.000379743
80,53565.3,0.79214,0.36567,0.00955,0.98726,0.99813,0.995,0.92404,0.41125,0.12851,0.00591,0.000363239,0.000363239,0.000363239
81,54210.9,0.7913,0.35426,0.00956,0.99697,1,0.995,0.92835,0.40598,0.11525,0.00575,0.000346736,0.000346736,0.000346736
82,54852.8,0.78947,0.36237,0.00968,0.98909,1,0.995,0.9352,0.37279,0.14017,0.00547,0.000330233,0.000330233,0.000330233
83,55492.7,0.80186,0.35895,0.00966,0.98466,0.9959,0.995,0.93088,0.38137,0.13888,0.00554,0.000313729,0.000313729,0.000313729
84,56129,0.78513,0.36366,0.00958,0.99166,0.9978,0.995,0.93535,0.39388,0.12545,0.00559,0.000297226,0.000297226,0.000297226
85,56769.3,0.78231,0.35011,0.00989,0.99161,1,0.995,0.92007,0.40092,0.12098,0.00604,0.000280723,0.000280723,0.000280723
86,57405.7,0.78027,0.35048,0.00968,0.99291,1,0.995,0.93177,0.38531,0.12484,0.0058,0.00026422,0.00026422,0.00026422
87,58044.3,0.76142,0.33844,0.00927,0.99632,1,0.995,0.93472,0.38068,0.12573,0.00565,0.000247716,0.000247716,0.000247716
88,58682.7,0.76326,0.3368,0.0093,0.99352,0.99897,0.995,0.92871,0.38938,0.12437,0.00569,0.000231213,0.000231213,0.000231213
89,59334.6,0.78311,0.36665,0.00945,0.99134,1,0.995,0.9348,0.39492,0.12263,0.00577,0.00021471,0.00021471,0.00021471
90,59969.8,0.76044,0.34681,0.00917,0.99515,1,0.995,0.93368,0.3891,0.13024,0.00563,0.000198206,0.000198206,0.000198206
91,60601.4,0.70178,0.236,0.01224,0.96487,0.97046,0.99324,0.92906,0.39854,0.16872,0.00575,0.000181703,0.000181703,0.000181703
92,61229.2,0.69107,0.21953,0.01198,0.99414,0.96875,0.99167,0.92122,0.41146,0.16321,0.00589,0.0001652,0.0001652,0.0001652
93,61860.7,0.68894,0.22265,0.01198,0.98112,1,0.995,0.92792,0.4087,0.17384,0.00596,0.000148696,0.000148696,0.000148696
94,62489.8,0.6738,0.22342,0.01176,0.99423,1,0.995,0.92108,0.40971,0.13483,0.00587,0.000132193,0.000132193,0.000132193
95,63122.5,0.65661,0.21949,0.01122,0.99228,1,0.995,0.92258,0.40608,0.1412,0.00589,0.00011569,0.00011569,0.00011569
96,63748.8,0.65549,0.22376,0.0115,0.99483,0.98604,0.995,0.9298,0.39388,0.15798,0.00575,9.91865e-05,9.91865e-05,9.91865e-05
97,64378,0.6552,0.2167,0.01139,0.99437,0.96312,0.995,0.92263,0.38909,0.17929,0.00576,8.26832e-05,8.26832e-05,8.26832e-05
98,65010.7,0.64988,0.22298,0.01137,0.985,1,0.995,0.92038,0.3988,0.16127,0.0059,6.61799e-05,6.61799e-05,6.61799e-05
99,65640.5,0.65467,0.22384,0.01133,0.96791,0.96875,0.98901,0.91015,0.40114,0.21043,0.00577,4.96766e-05,4.96766e-05,4.96766e-05
100,66270.2,0.65208,0.21926,0.01133,0.99393,0.96199,0.99324,0.92425,0.39834,0.18748,0.00577,3.31733e-05,3.31733e-05,3.31733e-05
